"Description 1","Conversion Factor","Description 2","Description 3","Description 4","Output Product Code","Standard Speed    Unit","Speed % Less than Standard","Speed % Greater Than Standard","Target Production",Unit,"% Less Than Target Production","% Greater than Target Production","Standard Uptime",Unit,"% less than Standard Uptime","% Greater Than Standard Uptime","Product Belong to Machine"
SupraMig,0.00591,"1.0 mm",15,"Plastic Spool",16S1015PRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Sandvik Basket",16S1015SR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",18,"Stein Basket",16S1018BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",18,"Stein Basket",16S1018BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",18,"Stein Basket",16S1018BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",18,"Drive Hole Basket",16S1018DL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",18,"Drive Hole Basket",16S1018DR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",5,"Plastic Spool",16S1205PR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Stein Basket",16S1215BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Stein Basket",16S1215BLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Stein Basket",16S1215BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Stein Basket",16S1215BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Stein Basket",16S1215BREX,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Stein Basket",16S1215BRVW,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Drive Hole Basket",16S1215DR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Plastic Spool",16S1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Plastic Spool",16S1215PLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Plastic Spool",16S1215PR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Plastic Spool",16S1215PRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",15,"Sandvik Basket",16S1215SR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",18,"Stein Basket",16S1218BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",18,"Stein Basket",16S1218BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",18,"Stein Basket",16S1218BRU,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",18,"Drive Hole Basket",16S1218DR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",18,"Sandvik Basket",16S1218SR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.011726938,1.4mm,15,"Plastic Spool",16S1415PR,30,m/sec,80,90,8106,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.011726938,1.4mm,18,"Stein Basket",16S1418BR,30,m/sec,80,90,8106,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.015372363,1.6mm,15,"Stein Basket",16S1615BR,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.015372363,1.6mm,15,"Plastic Spool",16S1615PL,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.015372363,1.6mm,15,"Plastic Spool",16S1615PR,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.015372363,1.6mm,15,"Plastic Spool",16S1615PRE,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.015372363,1.6mm,18,"Stein Basket",16S1618BR,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.003746413,0.8mm,18,"Stein Basket",16SCF0818BR,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.00591,"1.0 mm",15,"Stein Basket",16SCF1015BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.00591,"1.0 mm",15,"Plastic Spool",16SCF1015PR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.00591,"1.0 mm",18,"Stein Basket",16SCF1018BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.00591,"1.0 mm",18,"Drive Hole Basket",16SCF1018DR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.008574138,"1.2 mm",15,"Stein Basket",16SCF1215BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.008574138,"1.2 mm",15,"Plastic Spool",16SCF1215PR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.008574138,"1.2 mm",18,"Stein Basket",16SCF1218BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
L61,0.015372363,1.6mm,15,"Stein Basket",FL61-16-15,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
L61,0.015372363,1.6mm,25,"K415 Basket",FL61-16-25,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
L61,0.0241411,2.0mm,25,"K415 Basket",FL61-2-25,30,m/sec,80,90,16686,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG3,0.00591,"1.0 mm",15,"Plastic Spool",163E1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG3,0.008574138,"1.2 mm",15,"Stein Basket",163E1215BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG3,0.008574138,"1.2 mm",15,"Plastic Spool",163E1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.003746413,0.8mm,15,"Stein Basket",163NP0815BR,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.003746413,0.8mm,15,"Plastic Spool",163NP0815PR,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.00591,"1.0 mm",15,"Stein Basket",163NP1015BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.00591,"1.0 mm",15,"Stein Basket",163NP1015BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.00591,"1.0 mm",15,"Drive Hole Basket",163NP1015DR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.00591,"1.0 mm",15,"Plastic Spool",163NP1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.00591,"1.0 mm",15,"Plastic Spool",163NP1015PLU,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.00591,"1.0 mm",15,"Plastic Spool",163NP1015PR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.00591,"1.0 mm",15,"Plastic Spool",163NP1015PRU,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.00591,"1.0 mm",18,"Stein Basket",163NP1018BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.00591,"1.0 mm",18,"Stein Basket",163NP1018BRU,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.008574138,"1.2 mm",15,"Stein Basket",163NP1215BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.008574138,"1.2 mm",15,"Plastic Spool",163NP1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.008574138,"1.2 mm",15,"Plastic Spool",163NP1215PLU,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.008574138,"1.2 mm",15,"Plastic Spool",163NP1215PR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.008574138,"1.2 mm",18,"Stein Basket",163NP1218BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.015372363,1.6mm,15,"Stein Basket",163NP1615BL,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.00591,"1.0 mm",15,"Drive Hole Basket",16E1015DL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.00591,"1.0 mm",15,"Plastic Spool",16E1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.008574138,"1.2 mm",15,"Plastic Spool",16E1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.00591,"1.0 mm",15,"Plastic Spool",16G1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.008574138,"1.2 mm",15,"Plastic Spool",16G1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.00591,"1.0 mm",15,"Stein Basket",16N1015BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.00591,"1.0 mm",15,"Drive Hole Basket",16N1015DL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.00591,"1.0 mm",15,"Plastic Spool",16N1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.00591,"1.0 mm",15,"Sandvik Basket",16N1015SL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.00591,"1.0 mm",18,"Stein Basket",16N1018BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.008574138,"1.2 mm",15,"Drive Hole Basket",16N1215DL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.008574138,"1.2 mm",15,"Plastic Spool",16N1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.008574138,"1.2 mm",15,"Sandvik Basket",16N1215SL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.008574138,"1.2 mm",18,"Stein Basket",16N1218BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.00591,"1.0 mm",15,"Plastic Spool",16R1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.008574138,"1.2 mm",15,"Plastic Spool",16R1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.00591,"1.0 mm",15,"Stein Basket",16X1015BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.00591,"1.0 mm",15,"Plastic Spool",16X1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.00591,"1.0 mm",15,"Plastic Spool",16X1015PR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.008574138,"1.2 mm",15,"Stein Basket",16X1215BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.008574138,"1.2 mm",15,"Drive Hole Basket",16X1215DL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.008574138,"1.2 mm",15,"Plastic Spool",16X1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.015372363,1.6mm,15,"Plastic Spool",16X1615PL,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.015372363,1.6mm,15,"Steel Reel",16X16BB,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.015372363,1.6mm,15,"Steel Reel",16X16BP,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.015372363,1.6mm,15,"Wooden Reel",16X16WD,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SG2 - Copper Free",0.003746413,0.8mm,15,"Plastic Spool",16XCF0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SG2 - Copper Free",0.00591,"1.0 mm",15,"Plastic Spool",16XCF1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SG2 - Copper Free",0.008574138,"1.2 mm",15,"Plastic Spool",16XCF1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
