17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.62,89443/202/23,Week 16,4,17/04/2023 06:48:14,17/04/2023 06:50:46,2.17,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.74,89443/202/24,Week 16,4,17/04/2023 06:51:04,17/04/2023 06:54:46,2.17,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.68,89443/202/25,Week 16,4,17/04/2023 06:55:05,17/04/2023 07:03:06,2.17,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.65,89443/202/26,Week 16,4,17/04/2023 07:03:26,17/04/2023 07:06:48,2.33,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W1,21 / SR,89524/076,Supplier 1,1631215PL,0.26,89623/211/4,Week 16,4,17/04/2023 06:44:17,17/04/2023 07:07:53,0.33,1000.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.67,89443/202/27,Week 16,4,17/04/2023 07:07:07,17/04/2023 07:11:09,3.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.50,89443/202/28,Week 16,4,17/04/2023 07:11:27,17/04/2023 07:14:32,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,0.00,89292/222/15,Week 16,4,17/04/2023 06:40:33,17/04/2023 07:16:02,0.00,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.68,89443/202/29,Week 16,4,17/04/2023 07:14:48,17/04/2023 07:17:15,2.17,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.53,89443/202/30,Week 16,4,17/04/2023 07:17:28,17/04/2023 07:20:00,2.17,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.64,89443/202/31,Week 16,4,17/04/2023 07:20:08,17/04/2023 07:22:40,2.17,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.64,89443/202/32,Week 16,4,17/04/2023 07:22:59,17/04/2023 07:25:21,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.73,89292/222/16,Week 16,4,17/04/2023 07:22:29,17/04/2023 07:25:50,2.67,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.42,89443/202/33,Week 16,4,17/04/2023 07:25:39,17/04/2023 07:27:59,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.59,89292/222/17,Week 16,4,17/04/2023 07:25:59,17/04/2023 07:29:08,2.67,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.53,89443/202/34,Week 16,4,17/04/2023 07:28:15,17/04/2023 07:30:39,2.17,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.69,89292/222/18,Week 16,4,17/04/2023 07:29:35,17/04/2023 07:32:19,2.33,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.65,89443/202/35,Week 16,4,17/04/2023 07:30:55,17/04/2023 07:34:35,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.66,89292/222/19,Week 16,4,17/04/2023 07:32:55,17/04/2023 07:35:44,2.50,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,6.08,89292/222/20,Week 16,4,17/04/2023 07:36:16,17/04/2023 07:39:02,1.33,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.51,89443/202/36,Week 16,4,17/04/2023 07:34:56,17/04/2023 07:40:36,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.70,89292/222/21,Week 16,4,17/04/2023 07:39:34,17/04/2023 07:42:28,2.50,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.60,89443/202/37,Week 16,4,17/04/2023 07:40:55,17/04/2023 07:54:28,2.67,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.77,89292/222/22,Week 16,4,17/04/2023 07:43:05,17/04/2023 07:57:21,3.00,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.65,89443/202/38,Week 16,4,17/04/2023 07:54:46,17/04/2023 07:57:47,2.67,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W4,None,89504/315,Supplier 1,16S1016BRE,1.41,89504/315/2,Week 16,4,17/04/2023 07:58:07,17/04/2023 08:01:08,1.33,1000.00,BOBBIN 1.2G3
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.74,89292/222/23,Week 16,4,17/04/2023 07:57:37,17/04/2023 08:01:11,3.17,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W4,None,89504/315,Supplier 1,16S1016BRE,16.18,89504/315/3,Week 16,4,17/04/2023 08:01:57,17/04/2023 08:07:02,4.50,1000.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.43,89443/202/39,Week 16,4,17/04/2023 07:57:57,17/04/2023 08:07:14,2.83,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.72,89292/222/24,Week 16,4,17/04/2023 08:01:47,17/04/2023 08:08:26,3.33,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.67,89443/202/40,Week 16,4,17/04/2023 08:07:27,17/04/2023 08:10:38,2.83,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W4,None,89504/315,Supplier 1,16S1016BRE,16.13,89504/315/4,Week 16,4,17/04/2023 08:07:38,17/04/2023 08:11:08,3.33,1000.00,BOBBIN 1.2G3
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.70,89292/222/25,Week 16,4,17/04/2023 08:08:58,17/04/2023 08:12:07,2.83,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.56,89443/202/41,Week 16,4,17/04/2023 08:10:48,17/04/2023 08:14:11,2.83,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W1,21 / SR,89623/211,Supplier 1,1631215PL,0.61,89623/211/5,Week 16,4,17/04/2023 08:13:08,17/04/2023 08:14:56,0.33,1000.00,BOBBIN 1.2G3
17/04/2023,Mornings,W4,None,89504/315,Supplier 1,16S1016BRE,16.13,89504/315/5,Week 16,4,17/04/2023 08:11:18,17/04/2023 08:15:04,3.17,1000.00,BOBBIN 1.2G3
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.69,89292/222/26,Week 16,4,17/04/2023 08:12:38,17/04/2023 08:15:37,2.50,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.58,89443/202/42,Week 16,4,17/04/2023 08:14:28,17/04/2023 08:18:25,2.17,1000.00,BOBBIN 1.0
