17/04/2023,Mornings,W5,None,1.33,17/04/2023 06:35:52,17/04/2023 06:38:13,Spool Change,Kg Completed,Not Applicable,Not Applicable,1631216BRE,2.67,89292/222,89292/222/13,Supplier 1,Week 16,4,BOBBIN 1.2G3,1.33,14.85,1.33
17/04/2023,Mornings,W3,21 / SR,0.50,17/04/2023 06:38:33,17/04/2023 06:39:13,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.33,89443/202,89443/202/20,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,23.03,1.83
17/04/2023,Mornings,W3,21 / SR,1.33,17/04/2023 06:41:13,17/04/2023 06:42:43,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.17,89443/202,89443/202/21,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,22.82,1.67
17/04/2023,Mornings,W1,21 / SR,0,17/04/2023 06:43:39,17/04/2023 06:43:39,Operator changed,null,null,null,1631215PL,0.83,89524/076,89524/076/3,Supplier 1,Week 16,4,BOBBIN 1.2G3,0.83,1.96,0.00
17/04/2023,Mornings,W3,21 / SR,3.50,17/04/2023 06:44:43,17/04/2023 06:48:14,reason not entered,null,null,null,16S1215PRE,2.00,89443/202,89443/202/22,Supplier 1,Week 16,4,BOBBIN 1.0,0.33,21.46,1.67
17/04/2023,Mornings,W3,21 / SR,0.50,17/04/2023 06:50:34,17/04/2023 06:51:14,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.50,89443/202,89443/202/23,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,23.77,2.00
17/04/2023,Mornings,W3,21 / SR,1.50,17/04/2023 06:53:35,17/04/2023 06:55:05,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.17,89443/202,89443/202/24,Supplier 1,Week 16,4,BOBBIN 1.0,0.33,21.60,1.83
17/04/2023,Mornings,W3,21 / SR,5.83,17/04/2023 06:57:35,17/04/2023 07:03:26,reason not entered,null,null,null,16S1215PRE,2.33,89443/202,89443/202/25,Supplier 1,Week 16,4,BOBBIN 1.0,0.17,22.60,2.17
17/04/2023,Mornings,W3,21 / SR,1.17,17/04/2023 07:05:56,17/04/2023 07:07:17,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.67,89443/202,89443/202/26,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,23.34,2.17
17/04/2023,Mornings,W3,21 / SR,1.17,17/04/2023 07:10:17,17/04/2023 07:11:27,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,3.00,89443/202,89443/202/27,Supplier 1,Week 16,4,BOBBIN 1.0,0.33,22.10,2.67
17/04/2023,Mornings,W3,21 / SR,1.17,17/04/2023 07:13:38,17/04/2023 07:14:58,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.33,89443/202,89443/202/28,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,23.30,1.83
17/04/2023,Mornings,W3,21 / SR,0.33,17/04/2023 07:17:08,17/04/2023 07:17:38,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.33,89443/202,89443/202/29,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,22.22,1.83
17/04/2023,Mornings,W3,21 / SR,0.33,17/04/2023 07:19:48,17/04/2023 07:20:18,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.33,89443/202,89443/202/30,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,22.23,1.83
17/04/2023,Mornings,W3,21 / SR,0.50,17/04/2023 07:22:29,17/04/2023 07:22:59,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.17,89443/202,89443/202/31,Supplier 1,Week 16,4,BOBBIN 1.0,0.33,22.57,1.83
17/04/2023,Mornings,W5,None,42.33,17/04/2023 06:40:03,17/04/2023 07:23:59,reason not entered,null,null,null,1631216BRE,3.00,89292/222,89292/222/15,Supplier 1,Week 16,4,BOBBIN 1.2G3,1.50,16.73,1.50
